ride_id,rideable_type,started_at,ended_at,start_station_name,end_station_name,tripduration,member_casual
ride_518098,classic_bike,2024-09-29 21:44:00,2024-09-29 22:12:00,W 41 St & 8 Ave,Hudson St & Reade St,1680,member
ride_197573,classic_bike,2024-09-28 22:45:00,2024-09-28 23:02:48,Fulton St & Broadway,W 21 St & 6 Ave,1068,member
ride_468900,classic_bike,2024-09-30 23:53:00,2024-10-01 00:05:18,Hudson St & Reade St,W 41 St & 8 Ave,738,member
ride_891093,electric_bike,2024-09-29 03:11:00,2024-09-29 03:50:30,Fulton St & Broadway,Hudson St & Reade St,2370,member
ride_539898,electric_bike,2024-09-04 15:32:00,2024-09-04 16:25:54,Central Park S & 6 Ave,W 72 St & Columbus Ave,3234,casual
ride_749468,electric_bike,2024-09-21 03:45:00,2024-09-21 03:51:18,Central Park S & 6 Ave,W 21 St & 6 Ave,378,member
ride_327797,classic_bike,2024-09-25 01:43:00,2024-09-25 02:01:48,W 72 St & Columbus Ave,Fulton St & Broadway,1128,member
ride_526117,classic_bike,2024-09-05 18:12:00,2024-09-05 18:50:00,W 41 St & 8 Ave,W 72 St & Columbus Ave,2280,member
ride_445658,electric_bike,2024-09-02 15:53:00,2024-09-02 16:18:54,Hudson St & Reade St,W 72 St & Columbus Ave,1554,member
ride_876764,electric_bike,2024-09-15 18:36:00,2024-09-15 19:05:12,E 17 St & Broadway,Broadway & W 60 St,1752,member
ride_154714,electric_bike,2024-09-22 22:56:00,2024-09-22 23:32:24,8 Ave & W 31 St,W 41 St & 8 Ave,2184,member
ride_602681,electric_bike,2024-09-07 00:08:00,2024-09-07 00:33:00,Hudson St & Reade St,Central Park S & 6 Ave,1500,member
ride_979727,classic_bike,2024-10-01 14:53:00,2024-10-01 15:15:06,8 Ave & W 31 St,Fulton St & Broadway,1326,member
ride_870214,electric_bike,2024-09-21 21:35:00,2024-09-21 21:45:30,W 21 St & 6 Ave,Fulton St & Broadway,630,member
ride_802371,classic_bike,2024-09-20 02:07:00,2024-09-20 02:39:12,Central Park S & 6 Ave,W 21 St & 6 Ave,1932,member
ride_180089,classic_bike,2024-09-24 15:55:00,2024-09-24 16:26:06,W 41 St & 8 Ave,8 Ave & W 31 St,1866,member
ride_783823,electric_bike,2024-09-13 03:34:00,2024-09-13 03:41:06,E 17 St & Broadway,W 21 St & 6 Ave,426,member
ride_259814,electric_bike,2024-09-14 00:07:00,2024-09-14 00:26:48,University Pl & E 14 St,Broadway & W 60 St,1188,member
ride_326895,electric_bike,2024-09-02 15:42:00,2024-09-02 15:58:42,8 Ave & W 31 St,Broadway & W 60 St,1002,member
ride_527398,classic_bike,2024-09-03 17:15:00,2024-09-03 17:35:00,E 17 St & Broadway,Fulton St & Broadway,1200,member
ride_942946,classic_bike,2024-09-09 03:58:00,2024-09-09 04:10:30,Fulton St & Broadway,E 17 St & Broadway,750,member
ride_329157,electric_bike,2024-09-30 02:32:00,2024-09-30 02:51:12,Fulton St & Broadway,W 72 St & Columbus Ave,1152,member
ride_982554,electric_bike,2024-09-26 01:35:00,2024-09-26 02:27:30,E 17 St & Broadway,W 41 St & 8 Ave,3150,casual
ride_468611,classic_bike,2024-09-25 15:36:00,2024-09-25 15:54:42,E 17 St & Broadway,Fulton St & Broadway,1122,member
ride_745584,classic_bike,2024-09-19 04:04:00,2024-09-19 04:24:36,8 Ave & W 31 St,E 17 St & Broadway,1236,member
ride_170674,classic_bike,2024-09-05 17:30:00,2024-09-05 17:59:12,W 21 St & 6 Ave,Broadway & W 60 St,1752,member
ride_524035,classic_bike,2024-09-08 00:49:00,2024-09-08 01:21:06,8 Ave & W 31 St,W 21 St & 6 Ave,1926,member
ride_395023,classic_bike,2024-09-22 22:59:00,2024-09-22 23:26:24,W 21 St & 6 Ave,E 17 St & Broadway,1644,member
ride_556732,electric_bike,2024-09-23 02:03:00,2024-09-23 02:31:12,Fulton St & Broadway,Hudson St & Reade St,1692,member
ride_631756,electric_bike,2024-09-16 16:12:00,2024-09-16 16:43:48,E 17 St & Broadway,W 41 St & 8 Ave,1908,member
ride_617077,classic_bike,2024-09-16 22:40:00,2024-09-16 23:00:06,Broadway & W 60 St,W 41 St & 8 Ave,1206,member
ride_736408,classic_bike,2024-09-29 01:31:00,2024-09-29 01:59:48,Central Park S & 6 Ave,W 72 St & Columbus Ave,1728,member
ride_208214,classic_bike,2024-09-21 15:44:00,2024-09-21 16:06:42,E 17 St & Broadway,8 Ave & W 31 St,1362,member
ride_735656,electric_bike,2024-09-13 20:52:00,2024-09-13 21:32:30,W 41 St & 8 Ave,Fulton St & Broadway,2430,member
ride_133104,classic_bike,2024-09-06 21:40:00,2024-09-06 21:49:24,8 Ave & W 31 St,Broadway & W 60 St,564,member
ride_839677,classic_bike,2024-09-04 03:39:00,2024-09-04 03:59:54,Broadway & W 60 St,W 72 St & Columbus Ave,1254,member
ride_583214,classic_bike,2024-09-16 00:51:00,2024-09-16 01:23:18,Fulton St & Broadway,Hudson St & Reade St,1937,member
ride_160738,classic_bike,2024-09-28 15:30:00,2024-09-28 16:27:48,Broadway & W 60 St,Central Park S & 6 Ave,3468,casual
ride_493049,classic_bike,2024-09-19 01:49:00,2024-09-19 02:13:00,Broadway & W 60 St,University Pl & E 14 St,1440,member
ride_970127,electric_bike,2024-09-17 02:51:00,2024-09-17 03:13:12,Central Park S & 6 Ave,E 17 St & Broadway,1332,member
ride_936821,classic_bike,2024-09-08 20:41:00,2024-09-08 20:58:00,W 72 St & Columbus Ave,Broadway & W 60 St,1020,member
ride_934908,electric_bike,2024-09-02 23:32:00,2024-09-02 23:43:24,University Pl & E 14 St,W 41 St & 8 Ave,684,member
ride_913875,electric_bike,2024-10-01 03:39:00,2024-10-01 03:48:42,University Pl & E 14 St,E 17 St & Broadway,582,member
ride_113280,classic_bike,2024-09-09 23:33:00,2024-09-09 23:56:12,8 Ave & W 31 St,E 17 St & Broadway,1392,member
